product_id,product_name,wood_species,region_wood,category,price_eur
W041,Arboré Essentiel Redwood,Redwood,USA,Arboré Essentiel,205
W007,Arboré Héritage Hickory,Hickory,USA,Arboré Héritage,970
w028,Arboré Voyage Hickory,Hickory,USA,Arboré Voyage,620
w002,Arboré Élégance Hickory,Hickory,USA,Arboré Élégance,395
w032,Arboré Essentiel Hickory,Hickory,USA,Arboré Essentiel,205
w048,Arboré Héritage Mahogany,Mahogany,Brazil,Arboré Héritage,1122
w046,Arboré Voyage Mahogany,Mahogany,Brazil,Arboré Voyage,720
w034,Arboré Élégance Mahogany,Mahogany,Brazil,Arboré Élégance,461
w019,Arboré Essentiel Mahogany,Mahogany,Brazil,Arboré Essentiel,242
w006,Arboré Héritage Rosewood,Rosewood,Brazil,Arboré Héritage,1122
W049,Arboré Voyage Rosewood,Rosewood,Brazil,Arboré Voyage,720
w042,Arboré Élégance Rosewood,Rosewood,Brazil,Arboré Élégance,461
W015,Arboré Essentiel Rosewood,Rosewood,Brazil,Arboré Essentiel,242
W047,Arboré Héritage Ipe,Ipe,Brazil,Arboré Héritage,1072
W044,Arboré Voyage Ipe,Ipe,Brazil,Arboré Voyage,670
W023,Arboré Élégance Ipe,Ipe,Brazil,Arboré Élégance,411
w015,Arboré Essentiel Ipe,Ipe,Brazil,Arboré Essentiel,192
w035,Arboré Héritage Pau Ferro,Pau Ferro,Brazil,Arboré Héritage,1132
w050,Arboré Voyage Pau Ferro,Pau Ferro,Brazil,Arboré Voyage,730
W046,Arboré Élégance Pau Ferro,Pau Ferro,Brazil,Arboré Élégance,471
w018,Arboré Essentiel Pau Ferro,Pau Ferro,Brazil,Arboré Essentiel,250
W017,Arboré Héritage Ebony,Ebony,Congo,Arboré Héritage,1092
w014,Arboré Voyage Ebony,Ebony,Congo,Arboré Voyage,690
W011,Arboré Élégance Ebony,Ebony,Congo,Arboré Élégance,431
W037,Arboré Essentiel Ebony,Ebony,Congo,Arboré Essentiel,212
w049,Arboré Héritage African Mahogany,African Mahogany,Ivory Coast,Arboré Héritage,1102
W016,Arboré Voyage African Mahogany,African Mahogany,Ivory Coast,Arboré Voyage,700
W001,Arboré Élégance African Mahogany,African Mahogany,Ivory Coast,Arboré Élégance,441
w013,Arboré Essentiel African Mahogany,African Mahogany,Ivory Coast,Arboré Essentiel,222
W034,Arboré Héritage Bubinga,Bubinga,Gabon,Arboré Héritage,1112
W024,Arboré Voyage Bubinga,Bubinga,Gabon,Arboré Voyage,710
w036,Arboré Élégance Bubinga,Bubinga,Gabon,Arboré Élégance,451
w021,Arboré Essentiel Bubinga,Bubinga,Gabon,Arboré Essentiel,232
w033,Arboré Héritage Wenge,Wenge,Congo,Arboré Héritage,1092
w022,Arboré Voyage Wenge,Wenge,Congo,Arboré Voyage,690
w017,Arboré Élégance Wenge,Wenge,Congo,Arboré Élégance,431
w011,Arboré Essentiel Wenge,Wenge,Congo,Arboré Essentiel,212
w041,Arboré Héritage Teak,Teak,India,Arboré Héritage,1082
W025,Arboré Voyage Teak,Teak,India,Arboré Voyage,680
W050,Arboré Élégance Teak,Teak,India,Arboré Élégance,421
W022,Arboré Essentiel Teak,Teak,India,Arboré Essentiel,202
W035,Arboré Héritage Bamboo,Bamboo,Vietnam,Arboré Héritage,960
W026,Arboré Voyage Bamboo,Bamboo,Vietnam,Arboré Voyage,610
w025,Arboré Élégance Bamboo,Bamboo,Vietnam,Arboré Élégance,385
W009,Arboré Essentiel Bamboo,Bamboo,Vietnam,Arboré Essentiel,195
W006,Arboré Héritage Mango,Mango,India,Arboré Héritage,950
w038,Arboré Voyage Mango,Mango,India,Arboré Voyage,600
w009,Arboré Élégance Mango,Mango,India,Arboré Élégance,375
w037,Arboré Essentiel Mango,Mango,India,Arboré Essentiel,185
w005,Arboré Héritage Sandalwood,Sandalwood,India,Arboré Héritage,900
w020,Arboré Voyage Sandalwood,Sandalwood,India,Arboré Voyage,550
w016,Arboré Élégance Sandalwood,Sandalwood,India,Arboré Élégance,325
w004,Arboré Essentiel Sandalwood,Sandalwood,India,Arboré Essentiel,135
W010,Arboré Héritage Padauk,Padauk,Laos,Arboré Héritage,1102
W019,Arboré Voyage Padauk,Padauk,Laos,Arboré Voyage,700
W013,Arboré Élégance Padauk,Padauk,Laos,Arboré Élégance,441
W018,Arboré Essentiel Padauk,Padauk,Laos,Arboré Essentiel,222
w001,Arboré Héritage Jarrah,Jarrah,Australia,Arboré Héritage,1102
w047,Arboré Voyage Jarrah,Jarrah,Australia,Arboré Voyage,700
w010,Arboré Élégance Jarrah,Jarrah,Australia,Arboré Élégance,441
w045,Arboré Essentiel Jarrah,Jarrah,Australia,Arboré Essentiel,222
